hour,pv_kwh_per_kw,wind_kwh_per_kw,day_ahead_eur_per_mwh,co2_eur_per_t,section13k_kwh
1,0.0,0.281936717147334,0.1,66.6,0.0
2,0.0,0.631707874577961,0.01,66.6,0.0
3,0.0,0.796921272969016,0.0,66.6,0.0
4,0.0,0.731439878633913,-0.01,66.6,0.0
5,0.0,0.74102814324573,-0.03,66.6,0.0
6,0.0,0.757852642071598,-0.02,66.6,0.0
7,0.0,0.726850418797369,-0.05,66.6,0.0
8,0.0,0.700757116274274,-0.02,66.6,0.0
9,0.0039933585552214,0.751733607063231,0.0,66.6,0.0
10,0.0192101653323332,0.787239358984575,0.04,66.6,0.0
11,0.0334543572970965,0.809494615239193,0.06,66.6,0.0
12,0.0543619868018601,0.787515901176007,0.54,66.6,0.0
13,0.0421055762546145,0.690043106209388,2.24,66.6,0.0
14,0.0220323978695005,0.714883375752093,1.96,66.6,0.0
15,0.0030992503516863,0.691100200454029,1.04,66.6,0.0
16,0.0,0.610631484875329,3.66,66.6,0.0
17,0.0,0.554095199258804,43.06,66.6,0.0
18,0.0,0.648589447337461,49.93,66.6,0.0
19,0.0,0.696548144120666,58.0,66.6,0.0
20,0.0,0.530366801188038,54.25,66.6,0.0
21,0.0,0.684883375752093,48.01,66.6,0.0
22,0.0,0.767607347585412,42.95,66.6,0.0
23,0.0,0.822644383928055,47.09,66.6,0.0
24,0.0,0.824759853573253,35.55,66.6,0.0
25,0.0,0.616205059940911,30.59,66.6,0.0
26,0.0,0.42792763656419,20.07,66.6,0.0
27,0.0,0.642053896042009,31.03,66.6,0.0
28,0.0,0.671733607063231,18.39,66.6,0.0
29,0.0,0.732035881739935,11.08,66.6,0.0
30,0.0,0.593110162222462,13.78,66.6,0.0
31,0.0,0.416168484501919,47.63,66.6,0.0
32,0.0,0.444489654665986,58.1,66.6,0.0
33,0.0047830776551357,0.474489654665985,65.67,66.6,0.0
34,0.0225110667230658,0.468615914143805,64.73,66.6,0.0
35,0.0430829688203991,0.486456697711262,68.98,66.6,0.0
36,0.0993018376288929,0.586237135710346,73.54,66.6,0.0
37,0.115108290465938,0.535768420131647,78.16,66.6,0.0
38,0.0640514329146225,0.578295625165027,78.87,66.6,0.0
39,0.0091963805668478,0.581008754044625,79.24,66.6,0.0
40,0.0,0.61237896591969,79.96,66.6,0.0
41,0.0,0.579261273000264,83.46,66.6,0.0
42,0.0,0.627507448671738,80.92,66.6,0.0
43,0.0,0.722421884642846,74.95,66.6,0.0
44,0.0,0.736919070005796,63.18,66.6,0.0
45,0.0,0.727239358984575,57.11,66.6,0.0
46,0.0,0.709697912809528,46.89,66.6,0.0
47,0.0,0.751759339548502,40.0,66.6,0.0
48,0.0,0.768321357650297,7.43,66.6,0.0
49,0.0,0.745102937753009,-0.08,66.6,0.0
50,0.0,0.755128670238279,-1.23,66.6,0.0
51,0.0,0.766162141217754,-1.3,66.6,0.0
52,0.0,0.753113099506755,-1.31,66.6,0.0
53,0.0,0.829206402029851,-1.31,66.6,0.0
54,0.0,0.840485167495512,-1.38,66.6,0.0
55,0.0,0.826450354427097,1.09,66.6,0.0
56,0.0,0.844391864972416,40.59,66.6,0.0
57,0.0035249151104912,0.885276909351969,59.61,66.6,0.0
58,0.0167672615432093,0.862429415339811,60.61,66.6,0.0
59,0.0273556951059225,0.783469229603451,57.0,66.6,0.0
60,0.035320208577081,0.794785398572292,54.89,66.6,25000.0
61,0.0328665997096721,0.825942391730607,53.89,66.6,100000.0
62,0.0191688899750094,0.771127854673172,54.42,66.6,100000.0
63,0.0028911671638956,0.744540104086106,60.86,66.6,100000.0
64,0.0,0.691390335397244,67.18,66.6,100000.0
65,0.0,0.794785398572292,73.59,66.6,0.0
66,0.0,0.84862344484077,82.28,66.6,0.0
67,0.0,0.768666363563926,82.97,66.6,0.0
68,0.0,0.826944615004835,79.03,66.6,0.0
69,0.0,0.777221157196268,73.23,66.6,0.0
70,0.0,0.862429415339811,67.41,66.6,0.0
71,0.0,0.734860393064884,65.0,66.6,0.0
72,0.0,0.695504923857154,58.12,66.6,0.0
73,0.0,0.825942391730607,57.3,66.6,0.0
74,0.0,0.879035180228952,50.46,66.6,0.0
75,0.0,0.868000881185288,40.0,66.6,0.0
76,0.0,0.814940168456379,25.48,66.6,0.0
77,0.0,0.878426678040831,35.0,66.6,0.0
78,0.0,0.879403168829789,57.73,66.6,0.0
79,0.0,0.760288400695574,72.65,66.6,0.0
80,0.0,0.848518124450236,85.02,66.6,0.0
81,0.0060756449286481,0.842349827434548,91.47,66.6,0.0
82,0.0309978461988171,0.840485167495512,94.2,66.6,0.0
83,0.0915509728505098,0.881838927453765,91.61,66.6,0.0
84,0.121542172855615,0.878426678040831,90.03,66.6,0.0
85,0.0693525438185405,0.879403168829789,86.3,66.6,0.0
86,0.0163898707078899,0.874988696142627,85.96,66.6,0.0
87,0.0023855863545208,0.875965186931585,92.11,66.6,0.0
88,0.0,0.850485167495512,98.62,66.6,0.0
89,0.0,0.871550714244422,105.73,66.6,0.0
90,0.0,0.840068651208427,133.23,66.6,0.0
